,holiday,date,New Year's Day,National Sovereignty and Children's Day,Labour Day,"Commemoration of Ataturk, Youth and Sports Day",Democracy and National Unity Day,Victory Day,Republic Day,Ramadan Feast,Ramadan Feast Holiday,Sacrifice Feast,Sacrifice Feast Holiday,National Sovereignty and Children's Day; Ramadan Feast Holiday
0,New Year's Day,2021-01-01,1,0,0,0,0,0,0,0,0,0,0,0
1,National Sovereignty and Children's Day,2021-04-23,0,1,0,0,0,0,0,0,0,0,0,0
2,Labour Day,2021-05-01,0,0,1,0,0,0,0,0,0,0,0,0
3,"Commemoration of Ataturk, Youth and Sports Day",2021-05-19,0,0,0,1,0,0,0,0,0,0,0,0
4,Democracy and National Unity Day,2021-07-15,0,0,0,0,1,0,0,0,0,0,0,0
5,Victory Day,2021-08-30,0,0,0,0,0,1,0,0,0,0,0,0
6,Republic Day,2021-10-29,0,0,0,0,0,0,1,0,0,0,0,0
7,Ramadan Feast,2021-05-13,0,0,0,0,0,0,0,1,0,0,0,0
8,Ramadan Feast Holiday,2021-05-14,0,0,0,0,0,0,0,0,1,0,0,0
9,Ramadan Feast Holiday,2021-05-15,0,0,0,0,0,0,0,0,1,0,0,0
10,Sacrifice Feast,2021-07-20,0,0,0,0,0,0,0,0,0,1,0,0
11,Sacrifice Feast Holiday,2021-07-21,0,0,0,0,0,0,0,0,0,0,1,0
12,Sacrifice Feast Holiday,2021-07-22,0,0,0,0,0,0,0,0,0,0,1,0
13,Sacrifice Feast Holiday,2021-07-23,0,0,0,0,0,0,0,0,0,0,1,0
14,New Year's Day,2022-01-01,1,0,0,0,0,0,0,0,0,0,0,0
15,National Sovereignty and Children's Day,2022-04-23,0,1,0,0,0,0,0,0,0,0,0,0
16,Labour Day,2022-05-01,0,0,1,0,0,0,0,0,0,0,0,0
17,"Commemoration of Ataturk, Youth and Sports Day",2022-05-19,0,0,0,1,0,0,0,0,0,0,0,0
18,Democracy and National Unity Day,2022-07-15,0,0,0,0,1,0,0,0,0,0,0,0
19,Victory Day,2022-08-30,0,0,0,0,0,1,0,0,0,0,0,0
20,Republic Day,2022-10-29,0,0,0,0,0,0,1,0,0,0,0,0
21,Ramadan Feast,2022-05-02,0,0,0,0,0,0,0,1,0,0,0,0
22,Ramadan Feast Holiday,2022-05-03,0,0,0,0,0,0,0,0,1,0,0,0
23,Ramadan Feast Holiday,2022-05-04,0,0,0,0,0,0,0,0,1,0,0,0
24,Sacrifice Feast,2022-07-09,0,0,0,0,0,0,0,0,0,1,0,0
25,Sacrifice Feast Holiday,2022-07-10,0,0,0,0,0,0,0,0,0,0,1,0
26,Sacrifice Feast Holiday,2022-07-11,0,0,0,0,0,0,0,0,0,0,1,0
27,Sacrifice Feast Holiday,2022-07-12,0,0,0,0,0,0,0,0,0,0,1,0
28,New Year's Day,2023-01-01,1,0,0,0,0,0,0,0,0,0,0,0
29,National Sovereignty and Children's Day; Ramadan Feast Holiday,2023-04-23,0,0,0,0,0,0,0,0,0,0,0,1
30,Labour Day,2023-05-01,0,0,1,0,0,0,0,0,0,0,0,0
31,"Commemoration of Ataturk, Youth and Sports Day",2023-05-19,0,0,0,1,0,0,0,0,0,0,0,0
32,Democracy and National Unity Day,2023-07-15,0,0,0,0,1,0,0,0,0,0,0,0
33,Victory Day,2023-08-30,0,0,0,0,0,1,0,0,0,0,0,0
34,Republic Day,2023-10-29,0,0,0,0,0,0,1,0,0,0,0,0
35,Ramadan Feast,2023-04-21,0,0,0,0,0,0,0,1,0,0,0,0
36,Ramadan Feast Holiday,2023-04-22,0,0,0,0,0,0,0,0,1,0,0,0
37,Sacrifice Feast,2023-06-28,0,0,0,0,0,0,0,0,0,1,0,0
38,Sacrifice Feast Holiday,2023-06-29,0,0,0,0,0,0,0,0,0,0,1,0
39,Sacrifice Feast Holiday,2023-06-30,0,0,0,0,0,0,0,0,0,0,1,0
40,Sacrifice Feast Holiday,2023-07-01,0,0,0,0,0,0,0,0,0,0,1,0
41,New Year's Day,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0
42,National Sovereignty and Children's Day,2024-04-23,0,1,0,0,0,0,0,0,0,0,0,0
43,Labour Day,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0
44,"Commemoration of Ataturk, Youth and Sports Day",2024-05-19,0,0,0,1,0,0,0,0,0,0,0,0
45,Democracy and National Unity Day,2024-07-15,0,0,0,0,1,0,0,0,0,0,0,0
46,Victory Day,2024-08-30,0,0,0,0,0,1,0,0,0,0,0,0
47,Republic Day,2024-10-29,0,0,0,0,0,0,1,0,0,0,0,0
48,Ramadan Feast,2024-04-10,0,0,0,0,0,0,0,1,0,0,0,0
49,Ramadan Feast Holiday,2024-04-11,0,0,0,0,0,0,0,0,1,0,0,0
50,Ramadan Feast Holiday,2024-04-12,0,0,0,0,0,0,0,0,1,0,0,0
51,Sacrifice Feast,2024-06-16,0,0,0,0,0,0,0,0,0,1,0,0
52,Sacrifice Feast Holiday,2024-06-17,0,0,0,0,0,0,0,0,0,0,1,0
53,Sacrifice Feast Holiday,2024-06-18,0,0,0,0,0,0,0,0,0,0,1,0
54,Sacrifice Feast Holiday,2024-06-19,0,0,0,0,0,0,0,0,0,0,1,0
